datetime,Evaporator temp,Souce_temp_in,Souce_temp_out,Condensor temp,Condensor pressure,Sink_temp_in,Sink_temp_out,COP,Compressor Power1 [W],Compressor Power2 [W],Condensor load[W],Temp difference,Intermediate pressure [bar],Vapour fraction Flash tank,error
2025/04/25 14:45:00,4.43,13.48,9.58,103.46,28.61,62.91,96.05,2.7273195564766652,3014023.2330573923,3697474.1140191597,18304950.803333335,62.73763990759426,9.41,0.21853679636682694,
2025/04/25 17:15:00,5.48,13.56,9.9,102.87,28.51,63.99,96.19,2.7321843174582234,2929983.012569774,3585815.8807996577,17802938.14444444,62.4708653281005,9.44,0.21815980827903947,
2025/04/25 19:45:00,5.71,13.59,10.01,103.73,28.58,64.43,96.41,2.7370600417805533,2984367.3967865496,3558676.1588740353,17909295.689999994,62.17005936203873,9.57,0.21097267502458095,
2025/04/25 22:15:00,5.06,13.57,9.72,103.01,28.69,63.59,96.8,2.7330863849911853,3074288.6529578925,3715350.7334180265,18557240.624999996,62.22404372326656,9.47,0.21190013344497863,
2025/04/26 00:45:00,5.41,13.55,9.83,103.16,28.55,64.74,95.63,2.7097221501354096,2858465.019594797,3423820.2214046824,17023781.035555553,61.657456467262364,9.48,0.21171037453910146,
2025/04/26 03:15:00,5.58,13.47,9.9,103.75,28.6,65.62,95.79,2.6984498896473186,2807439.1616217364,3341188.3637498245,16592301.58055556,61.33578072388383,9.52,0.20717921910098952,
2025/04/26 05:45:00,5.36,13.36,9.72,102.91,28.12,65.62,95.95,2.725302668389963,2810044.9926641784,3352669.589077939,16795805.345,61.5336468293217,9.43,0.20748569303937892,
2025/04/26 08:15:00,4.53,13.21,9.36,102.71,28.58,63.2,96.02,2.732984948415094,3001126.152962583,3629412.9779416337,18121719.80666666,61.581205515257295,9.37,0.20647329563639966,
2025/04/26 10:45:00,5.0,13.26,9.5,103.4,28.53,65.4,96.0,2.7159479531293362,2846337.096352996,3384420.155292416,16922938.999999996,61.0912339692249,9.45,0.2005611490970385,
2025/04/26 13:15:00,5.14,13.46,9.7,103.28,28.36,65.16,95.98,2.728537337805641,2843484.297557324,3378981.298427099,16978761.971111115,60.50332116098923,9.43,0.19827224491188525,
2025/04/26 15:45:00,6.55,13.6,10.33,101.21,26.61,64.85,94.03,2.7930038275368574,2630437.784961351,3180093.936349397,16229444.256666671,60.38165110103523,9.21,0.20389615023880198,
2025/04/26 18:15:00,7.13,13.72,10.56,100.77,26.26,64.55,91.98,2.749066792424634,2520456.076169929,2998893.296520018,15173632.918888891,58.93680368040049,9.19,0.2030664015406818,
2025/04/26 20:45:00,6.57,13.79,10.44,100.55,26.39,64.25,92.0,2.7526071975488713,2547152.1784020467,3042642.802142836,15387058.95833333,58.91626374032677,9.18,0.20211384578443517,
2025/04/26 23:15:00,6.71,13.74,10.45,100.4,26.25,64.22,92.03,2.764952942937092,2564731.829075148,3047399.051029712,15517845.585000003,58.904370651051295,9.18,0.20079869580174278,
2025/04/27 01:45:00,6.64,13.63,10.33,100.85,26.34,65.48,91.98,2.726159543873718,2450371.2626454458,2916280.4836227405,14630870.833333334,58.15142074826093,9.15,0.19649609656938447,
2025/04/27 07:30:00,5.52,13.4,9.8,99.78,26.28,62.09,91.77,2.7993617662531256,2722847.344548625,3165350.4307753737,16483757.54666666,57.55875589784398,9.12,0.18153452126718173,
