datetime,Evaporator temp,Souce_temp_in,Souce_temp_out,Condensor temp,Sink_temp_in,Sink_temp_out,COP,Compressor Power [W],Condensor load[W],Temp difference,Intermediate pressure [bar],error
2025/05/04 20:45:00,7.83,17.34,13.21,99.11,65.97,91.69,2.7052731221995017,6582208.294576675,17807173.41333333,87.01371363719811,9.77,
2025/05/04 21:00:00,7.91,17.34,13.22,99.17,65.71,91.84,2.705875023423991,6685310.237609606,18090125.62500001,86.98776879880168,9.8,
2025/05/04 21:15:00,7.84,17.33,13.22,99.2,65.46,92.0,2.70106338582326,6801961.755314599,18373049.273333337,87.08248412815763,9.75,
2025/05/04 21:30:00,7.85,17.3,13.19,99.2,65.21,92.15,2.7020002078008165,6938434.059811052,18748180.586666673,87.07267704919522,9.77,
2025/05/04 21:45:00,7.59,17.29,13.13,99.1,64.96,92.31,2.69760532089156,7075991.857451032,19088765.361111116,87.23982722203365,9.72,
2025/05/04 22:00:00,7.75,17.27,13.14,98.84,64.71,92.46,2.715159813930934,7137093.069369782,19378898.0,86.85620639678075,9.79,
2025/05/04 22:15:00,7.7,17.24,13.07,99.57,64.84,92.62,2.6833723311786715,7233539.544385647,19410815.086666666,87.54206556838419,9.8,
2025/05/04 22:30:00,8.03,17.23,13.19,100.16,65.31,92.77,2.667672411989487,7196355.744467718,19198060.982222218,87.7326733207282,9.82,
2025/05/04 22:45:00,8.34,17.2,13.25,100.12,65.78,92.93,2.6788544644496173,7089880.869427092,18993310.41666667,87.39423123767787,9.86,
2025/05/04 23:00:00,8.54,17.18,13.33,100.51,66.25,93.08,2.669414560131096,7035640.594308812,18781597.71277778,87.5371959065362,9.92,
2025/05/04 23:15:00,8.84,17.15,13.4,100.9,66.72,93.24,2.659543785104664,6984555.246600147,18576292.019999996,87.58150197780552,9.9,
2025/05/04 23:30:00,9.08,17.14,13.43,101.29,67.19,93.39,2.645871310260535,6913858.870186472,18293735.166666668,87.68397562235462,9.83,
2025/05/04 23:45:00,8.64,17.12,13.35,101.99,67.66,93.56,2.613762059092956,6834558.844302719,17864432.911111116,88.72186102521037,10.08,
2025/05/05 00:00:00,8.6,17.1,13.32,103.0,68.13,95.39,2.572954836967347,6977486.49159902,17953267.89666667,89.63362677125153,10.19,
2025/05/05 00:15:00,9.32,17.07,13.55,104.2,69.81,95.77,2.5329924570902413,6673760.759015098,16905088.542222217,89.95868304880554,10.1,
2025/05/05 00:30:00,8.6,17.05,13.26,103.17,67.64,95.22,2.561431526462681,6889375.24567424,17647159.529999997,89.77989817383568,10.08,
2025/05/05 00:45:00,8.48,17.02,13.21,103.14,67.68,94.88,2.561067474461475,6819095.74782297,17464653.06666666,89.87196897124007,10.11,
2025/05/05 01:00:00,8.38,16.98,13.14,103.11,67.71,95.01,2.559652310075663,6882130.045567885,17616348.750000004,89.94427910398844,10.1,
2025/05/05 01:15:00,8.27,16.96,13.07,103.08,67.74,95.15,2.556498882049962,6892741.968112793,17621768.70055556,90.02630900702569,10.05,
2025/05/05 01:30:00,8.25,16.94,13.04,103.04,67.78,95.28,2.5570100157100355,6878653.633816382,17589265.833333336,90.0114063134875,10.03,
2025/05/05 01:45:00,8.11,16.9,12.99,103.01,67.81,95.41,2.5550447549830246,6873608.818636656,17562855.199999996,90.12297702344729,10.03,
2025/05/05 02:00:00,7.86,16.88,12.91,103.07,67.84,95.54,2.548855756379371,6892176.117111217,17567630.849999998,90.42026303974741,10.09,
2025/05/05 02:15:00,7.72,16.86,12.85,103.19,67.88,95.68,2.5404601085220353,6935981.042047456,17621045.44444445,90.6612079287406,10.09,
2025/05/05 02:30:00,7.63,16.8,12.79,103.31,67.91,95.81,2.532514349192728,7010784.421847122,17755375.550000004,90.85302043103752,10.07,
2025/05/05 02:45:00,7.54,16.8,12.74,103.43,67.95,95.94,2.5245782072567633,7058602.420300823,17820450.834999997,91.04481579949449,10.05,
2025/05/05 03:00:00,7.56,16.77,12.74,103.55,67.98,96.07,2.519507049584063,7053676.98052781,17772246.494444434,91.12862696245674,10.04,
2025/05/05 03:15:00,7.48,16.72,12.71,103.66,68.01,96.21,2.5122226908547844,7117341.342253251,17880806.89999999,91.30194709359121,10.02,
2025/05/05 03:30:00,7.31,16.71,12.66,103.78,68.05,96.34,2.5040284973197697,7195693.67517924,18018678.975000005,91.57228106784311,10.04,
2025/05/05 03:45:00,7.27,16.69,12.66,103.9,68.08,96.47,2.498372057693272,7229561.6240030965,18062593.35833333,91.71495841738805,10.05,
2025/05/05 04:00:00,7.29,16.64,12.61,104.02,68.11,96.61,2.4940423004854932,7262212.515494485,18112723.749999996,91.79870225773568,10.06,
2025/05/05 04:15:00,7.39,16.64,12.64,104.12,68.15,96.74,2.4923219415811158,7233167.851654683,18027842.23166666,91.78663416851843,10.07,
2025/05/05 04:30:00,7.37,16.62,12.6,104.17,68.18,96.87,2.490107425503896,7206330.341329517,17944990.916111108,91.84933767203688,10.08,
2025/05/05 04:45:00,7.38,16.61,12.55,104.23,68.22,97.0,2.48812049818923,7222355.515524303,17970540.585555553,91.89118317148257,10.09,
2025/05/05 05:00:00,7.45,16.58,12.58,104.28,68.25,97.14,2.4878756660391828,7238266.629740608,18008364.825,91.86548601069204,10.1,
2025/05/05 05:15:00,7.38,16.57,12.56,104.48,68.28,97.27,2.4795973119630816,7381101.541030049,18302620.68555555,92.10643032493454,10.15,
2025/05/05 05:30:00,8.03,16.54,12.65,104.8,67.96,97.38,2.4805395433201642,7440498.148839792,18456929.565555554,91.74284522893518,10.17,
2025/05/05 05:45:00,7.39,16.53,12.54,103.75,67.53,97.07,2.507474015513146,7372406.5540124485,18486594.79333333,91.46790828834263,10.05,
2025/05/05 06:00:00,7.23,16.5,12.51,103.84,67.1,96.77,2.5015353572605967,7404115.2760888785,18522132.108333334,91.70259598797641,10.09,
