X,R2,RMSE,MAE,COUNT
0.9961,0.997783742001645,0.00020083529131137342,0.00013525413314363424,106
1.0001,0.9992456037206362,0.00016309909826883672,0.00013580127680640534,153
0.9918,0.999565906743544,0.00010877611162511337,8.882060000549938e-05,22
0.9901,0.9991380125630825,0.00013585857650115572,0.00011927455349214355,15
0.9911,0.9996182205901416,8.400847108032339e-05,6.490023517404162e-05,14
0.9893,0.9992281392311168,0.00015240169528214724,0.00014047644459404894,11
1.0084,1.0,7.021666937153402e-16,6.661338147750939e-16,2
0.9844,,2.220446049250313e-16,2.220446049250313e-16,1
1.0082,,2.220446049250313e-16,2.220446049250313e-16,1
1.0075,,2.220446049250313e-16,2.220446049250313e-16,1
1.0076,,2.220446049250313e-16,2.220446049250313e-16,1
1.0081,,2.220446049250313e-16,2.220446049250313e-16,1
1.0113,,2.220446049250313e-16,2.220446049250313e-16,1
1.0107,,0.0,0.0,1
0.9908,0.9993760704184423,0.00011166979249541519,7.863738541602494e-05,13
0.9914,0.9993913935240037,0.00014725304556791947,0.00013475595717238984,17
0.9906,0.9988526859965576,0.00013404561150725944,0.00012265977132286388,13
1.0112,,0.0,0.0,1
0.9897,0.9994796276624636,9.697551559841359e-05,7.79983456486851e-05,15
0.9891,0.9991614970424604,0.00011500273544034254,9.751249277482994e-05,13
0.9922,0.999405360788014,0.00013515684588856754,0.00011694324213693744,22
0.9909,0.9991089635061217,0.00014666836764528807,0.00012949728168140022,13
0.9915,0.9991370513674842,0.00013426974103242166,0.0001141401499234165,18
0.9921,0.9986424937073912,0.00013321731202280056,0.0001166551017485684,25
0.9919,0.9987474275567301,0.00013010592743341093,0.00010675071687958893,20
0.9927,0.9988780737197231,0.0001332878143988342,0.00010405838334865784,24
0.9925,0.9990267006452479,0.00014418857379862679,0.00012482741748853776,24
0.9917,0.9994210804312226,0.00013456098491590826,0.00010855473232967983,16
0.991,0.9992128543446148,0.0001328295348282028,0.00010370593106215139,13
0.9896,0.9990807124448584,0.00015643598447482714,0.00013695185239255282,15
0.9888,0.9991673461831645,0.00014501552823329285,0.000125332761501557,11
0.9876,0.9993756865955202,0.00011863587803860571,0.00010725235579112091,6
0.9866,0.9746734078090428,0.00012598568944637302,0.00010479420155686813,10
0.9852,1.0,4.440892098500626e-16,4.440892098500626e-16,2
0.9847,1.0,1.4332917616497526e-15,1.4062824978585316e-15,3
0.9864,0.9979664824354043,9.257207213121536e-05,7.741636439091109e-05,7
0.9677,,2.220446049250313e-16,2.220446049250313e-16,1
0.9899,0.9996070605488812,9.258804942294763e-05,6.551727422244757e-05,11
1.0079,,2.220446049250313e-16,2.220446049250313e-16,1
1.0074,,2.220446049250313e-16,2.220446049250313e-16,1
0.9903,0.999378188932305,0.00012339236461432433,0.00011385200268473405,17
0.9907,0.9992935817700509,0.0001226236195991285,0.000107914531679613,12
0.9902,0.9991897533906061,0.00012843723504188671,0.00010817011218150221,21
0.9905,0.9899663624353402,0.00015951138322102353,0.00015420064377617373,12
0.9886,0.9994671002736767,0.00011461779334798167,8.205987307622713e-05,6
0.989,0.9995829650456827,9.750523495925986e-05,8.473964479057312e-05,9
0.9887,0.9986112034139343,0.00014790714474434077,0.00012443504665835207,13
0.9884,1.0,1.8129866073473578e-16,1.4802973661668753e-16,3
0.9889,0.9992160832911148,0.0001085514484713717,8.749137015879554e-05,7
0.9885,0.9999075056213609,4.7232249420378066e-05,3.082021743083807e-05,6
0.9881,0.9992188518556125,9.708771995064362e-05,8.440061400446137e-05,6
0.9879,0.9976470871406926,0.00013410372041250634,9.521370030873832e-05,5
0.974,,2.220446049250313e-16,2.220446049250313e-16,1
0.9744,,0.0,0.0,1
0.9748,,2.220446049250313e-16,2.220446049250313e-16,1
0.975,,2.220446049250313e-16,2.220446049250313e-16,1
0.9755,1.0,5.661048867003676e-16,5.551115123125783e-16,2
0.976,,2.220446049250313e-16,2.220446049250313e-16,1
0.9762,,2.220446049250313e-16,2.220446049250313e-16,1
0.9768,,0.0,0.0,1
0.9772,,0.0,0.0,1
0.9775,,2.220446049250313e-16,2.220446049250313e-16,1
0.978,,2.220446049250313e-16,2.220446049250313e-16,1
0.9783,,0.0,0.0,1
0.9785,,2.220446049250313e-16,2.220446049250313e-16,1
0.9787,,0.0,0.0,1
0.98,,0.0,0.0,1
0.9771,,0.0,0.0,1
0.9766,,0.0,0.0,1
0.9754,,2.220446049250313e-16,2.220446049250313e-16,1
0.9743,,2.220446049250313e-16,2.220446049250313e-16,1
0.9732,,4.440892098500626e-16,4.440892098500626e-16,1
0.9718,,2.220446049250313e-16,2.220446049250313e-16,1
0.9703,,0.0,0.0,1
0.9695,,2.220446049250313e-16,2.220446049250313e-16,1
0.9871,1.0,3.7331679119622444e-15,3.2566542055671257e-15,3
0.9873,0.9989608798308764,0.00013347391530793104,9.845623385791313e-05,5
0.9874,1.0,9.847037774550072e-16,9.62193288008469e-16,3
0.9883,0.9999093730002354,3.869742785117921e-05,3.614825873937688e-05,4
0.984,1.0,3.1401849173675503e-16,2.9605947323337506e-16,3
0.9853,0.9691791073415531,0.00010222502819741027,8.762400552601395e-05,6
0.99,0.9989410407605842,0.00012603304817092635,0.00010933834150541856,18
0.9872,1.0,6.661338147750939e-16,6.661338147750939e-16,3
0.9898,0.999345804951679,0.00010581121915815458,9.545092512622041e-05,13
0.9875,0.9992530313110567,0.00012077389761242572,0.0001054479385469114,7
0.9868,0.9999998299498827,4.6423969531388276e-07,3.76786998379508e-07,4
0.9859,0.9863763203853408,0.0001255691312291764,0.00011113317312557343,6
0.9856,0.9996874360328466,1.4755784603212758e-05,1.1372381555962985e-05,4
0.9854,0.9988675662496731,8.469534983955902e-05,6.901664521485884e-05,7
0.9855,0.9746529466365563,0.0001470001802055341,0.00013238943176903107,5
0.9862,0.994405547193961,0.00014239028897904013,0.00010898288409947174,7
0.9878,0.9997478025014573,7.524611267524635e-05,5.729794318276582e-05,5
0.9895,0.9987586591186424,0.00017010145466241972,0.0001562450609921119,9
0.9894,0.999814372524347,7.592732190925052e-05,6.061607555125319e-05,7
0.9892,0.999645980883607,8.176670586162425e-05,6.561769822040671e-05,9
0.9904,0.9994543231801515,0.00011716412982983398,0.00010856133240921828,10
0.987,1.0,1.8129866073473578e-16,1.4802973661668753e-16,3
0.9811,1.0,1.9100999153570945e-15,1.6283271027835629e-15,3
0.9857,1.0,4.965068306494546e-16,4.440892098500626e-16,2
0.9882,1.0,1.5700924586837752e-16,1.1102230246251565e-16,2
0.9827,0.9998797310323596,9.21700914387386e-06,6.89446850110631e-06,4
0.9824,1.0,3.1401849173675503e-16,2.9605947323337506e-16,3
