datetime,Evaporator temp,Souce_temp_in,Souce_temp_out,Condensor temp,Condensor pressure,Sink_temp_in,Sink_temp_out,COP,Compressor Power1 [W],Compressor Power2 [W],Condensor load[W],Temp difference,Intermediate pressure [bar],Vapour fraction Flash tank,error
2025/04/30 03:00:00,7.25,15.71,11.92,98.17,25.63,66.14,89.75,3.1372760676781044,2569913.7459703027,2744394.3542384407,16673093.433333332,58.2788888506538,9.51,0.1947727026555518,
2025/04/30 05:30:00,6.91,15.52,11.66,97.15,25.37,65.3,90.33,3.1621462657275976,2654186.7137062214,2816327.866743238,17299228.63777777,58.76420611913994,9.41,0.1971864752330081,
2025/04/30 08:00:00,6.12,15.26,11.17,96.34,25.73,64.28,89.67,3.1355065062949543,2722967.4664383326,2931869.006257354,17731408.358888887,59.23325452659094,9.31,0.20222821333958724,
2025/04/30 10:30:00,6.66,15.26,11.33,97.77,25.58,64.38,89.23,3.1305442384051876,2684317.9309749696,2889337.7699951036,17449221.319444448,59.23773797547062,9.33,0.20496968800601728,
2025/04/30 13:00:00,5.13,15.57,11.47,97.64,25.94,64.82,89.77,3.1582919051140275,2896130.7951204893,3049146.0969643835,18777594.55,59.92448341785092,9.39,0.20608067259835333,
2025/04/30 15:30:00,5.27,15.9,11.82,98.21,26.1,65.27,90.31,3.170570097210379,2860751.2155149966,3090198.588617969,18868588.73777778,59.98285628890176,9.35,0.20999972426754013,
2025/04/30 18:00:00,5.41,16.28,12.19,98.11,26.14,65.8,90.87,3.182648009581057,2832344.3124866267,3092606.3316982905,18857719.46055556,59.781409223263836,9.36,0.21133249569002888,
2025/04/30 20:30:00,7.95,16.44,12.61,98.76,25.69,66.41,91.06,3.198642746156909,2893318.1867091125,2925682.5299829966,18613634.050000004,59.47252477131042,9.68,0.20188392229728788,
2025/04/30 23:00:00,7.68,16.44,12.48,97.7,25.72,66.28,90.01,3.177856918411217,2755702.673652909,2888143.572116949,17936009.37333334,59.28641702448874,9.59,0.20505675097987852,
2025/05/01 01:30:00,7.7,16.41,12.53,97.87,25.76,66.95,89.93,3.170118937534605,2671246.2640775875,2824393.284226519,17422496.37333333,58.91717517711993,9.61,0.2012128678816354,
2025/05/01 04:00:00,7.63,16.31,12.41,97.94,25.64,66.05,89.84,3.186887561209843,2815624.745803425,2853756.2401366723,18068371.51166667,58.91507393790613,9.68,0.1956618050708785,
2025/05/01 06:30:00,6.16,16.09,11.95,96.9,25.63,64.5,89.74,3.208940975628165,2976502.0332712373,3048060.045701014,19333168.335555553,59.58235509385332,9.46,0.20200292184009394,
2025/05/01 09:00:00,5.27,15.88,11.78,97.87,25.76,63.79,90.09,3.203997817015231,3030498.2478878153,3159452.0675735543,19833315.088888887,60.20920955562718,9.34,0.20996741038794878,
2025/05/01 11:30:00,5.3,15.97,11.88,98.2,26.14,64.67,90.46,3.181102980780289,2998455.2316145343,3137835.1484050257,19520882.266111102,60.36423966675329,9.44,0.20998184617138618,
2025/05/01 14:00:00,6.97,16.36,12.23,98.4,26.24,65.54,90.83,3.180354297041549,2954434.4230728257,3065231.4578068056,19145360.35499999,60.26350023573866,9.59,0.20805550636861878,
2025/05/01 16:30:00,7.42,16.81,12.68,98.4,26.2,66.36,90.92,3.1844497443173956,2859240.288584318,2980043.6979147973,18595578.07555556,59.59988154919165,9.67,0.20524718107099021,
2025/05/01 19:00:00,7.82,17.11,12.98,98.4,26.17,66.85,90.95,3.1865808624658327,2803856.829541236,2903962.4421110894,18189085.38333334,59.17069720533988,9.77,0.20173342719523388,
2025/05/01 21:30:00,7.93,17.22,13.09,98.55,26.19,67.33,90.98,3.177090177326599,2730753.679358211,2863625.968072752,17774488.600000005,58.83906041986887,9.77,0.20172455680456058,
2025/05/02 00:00:00,8.63,17.17,13.33,99.33,26.22,67.77,90.44,3.15906048780801,2624903.3020706666,2759336.0118669933,17009790.923888884,58.281023100788616,9.85,0.19759423639680904,
2025/05/02 02:30:00,8.4,17.1,13.22,98.99,26.07,68.18,89.88,3.1464723242312687,2539570.6104605007,2658533.099418117,16356307.48888888,58.05744089977958,9.9,0.194490482326028,
2025/05/02 05:00:00,8.34,17.02,13.14,98.59,26.02,67.41,90.91,3.1817546356664073,2738439.637662847,2800375.098051286,17623826.305555552,58.51185873579237,9.85,0.19486852831907214,
2025/05/02 07:30:00,5.41,16.7,12.62,98.37,26.25,65.54,90.96,3.2003605194022784,2903270.0520967613,3131828.3518204917,19315201.998888876,59.82070109874934,9.44,0.21239653021592117,
2025/05/02 10:00:00,7.07,16.63,12.48,98.33,26.14,65.94,91.02,3.1857808269981267,2909296.4406173253,3009815.047978119,18857670.11333333,60.26300795020887,9.66,0.20886407021358835,
2025/05/02 12:30:00,7.59,16.81,12.73,98.72,26.1,66.34,91.07,3.184676687680547,2910253.517242932,2974887.7830782784,18742957.67666666,60.26488476834703,9.75,0.20983350010583945,
